park_id,park_name,province,fiscal_year,calendar_year,month,thai_visitors,foreign_visitors,total_visitors,source_name,source_url,retrieved_at,schema_version,avg_temperature_2m_c,avg_relative_humidity_pct,total_precipitation_mm,avg_wind_speed_10m_kmh,weather_observations,pm25_max_ug_m3,pm25_exceed_days,hotspot_count
ob_luang,ออบหลวง,เชียงใหม่,2559,2015,11,,,4914,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035366+00:00,1.0,22.711,79.253,38.0,3.798,720,,,
ob_luang,ออบหลวง,เชียงใหม่,2559,2015,12,,,12060,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035369+00:00,1.0,20.476,76.254,48.0,3.783,744,,,
ob_luang,ออบหลวง,เชียงใหม่,2559,2016,1,,,8287,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035371+00:00,1.0,18.405,67.789,36.5,5.01,744,,,
ob_luang,ออบหลวง,เชียงใหม่,2559,2016,2,,,3406,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035374+00:00,1.0,20.882,62.483,7.9,5.324,696,,,
ob_luang,ออบหลวง,เชียงใหม่,2559,2016,3,,,1897,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035376+00:00,1.0,25.454,54.749,0.5,6.054,744,,,
ob_luang,ออบหลวง,เชียงใหม่,2559,2016,4,,,3149,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035379+00:00,1.0,28.06,51.947,8.8,7.798,720,,,
ob_luang,ออบหลวง,เชียงใหม่,2559,2016,5,,,1511,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035381+00:00,1.0,26.558,67.063,120.3,5.795,744,,,
ob_luang,ออบหลวง,เชียงใหม่,2559,2016,6,,,956,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035384+00:00,1.0,23.031,89.671,308.4,5.011,720,,,
ob_luang,ออบหลวง,เชียงใหม่,2559,2016,7,,,2021,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035386+00:00,1.0,22.688,90.548,282.5,5.703,744,,,
ob_luang,ออบหลวง,เชียงใหม่,2559,2016,8,,,1852,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035389+00:00,1.0,22.668,90.241,191.8,6.73,744,,,
